uniq_id,product_name,manufacturer,price,number_of_reviews,number_of_answered_questions,average_review_rating,product_information,main_category,sub_category,combined_description
72333b924a3cd25b23afe5020088ca7f,Mah jong set with Oriental characters-00691,A Kent & Cleal game,44.99,2,1,4.5,"Technical Details Manufacturer recommended age:6 years and up Item model number00691 ???? Additional Information ASINB002Q0ESTG Best Sellers Rank 203,574 in Toys & Games (See top 100) #252 in??Toys & Games > Games > Dominoes & Tile Games Shipping Weight2.5 Kg Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available22 Sept. 2009 ???? Feedback ??Would you like to update product info or give feedback on images?",games,dominoes & tile games,Mah jong set in beautiful oak presentation box with brassed fittings and solid oak handle. Acrylic tiles in two colour acrylic and very fine etching. Mah jong set in beautiful oak presentation box with brassed fittings and solid oak handle. Acrylic tiles in two colour acrylic and very fine etching.
f3e5295e98323373ed11734dac92f8c8,"Blue, Red & Silver happy 40th Birthday Banner",Swoosh Supplies,1.15,9,2,4.8,"Technical Details Item Weight32 g Manufacturer recommended age:3 years and up Item model numberQAH018M-EXPR-A ColorBlue/Red/Silver ???? Additional Information ASINB001Q4IW2M Best Sellers Rank 92,557 in Toys & Games (See top 100) #1304 in??Toys & Games > Party Supplies > Banners, Stickers & Confetti > Banners Shipping Weight100 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available19 Jan. 2009 ???? Feedback ??Would you like to update product info or give feedback on images?",party supplies,"banners, stickers & confetti",This Item Is Brand New In Pack This Item Is Brand New In Pack
2ff0fa5ba751e2f27ed58161d561e5fe,Details about NEW SET OF 6 SPINNING WINDMILL IN FLOWER POT CHILDREN'S GARDEN TOY PW,Playwrite,0.0,1,7,5.0,"Technical Details Item Weight200 g Product Dimensions28.6 x 16 x 4.6 cm Manufacturer recommended age:3 years and up ???? Additional Information ASINB016KPK78I Best Sellers Rank 50,912 in Toys & Games (See top 100) #60 in??Toys & Games > Sports Toys & Outdoor > Garden Tools Shipping Weight200 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available13 Oct. 2015 ???? Feedback ??Would you like to update product info or give feedback on images?",sports toys & outdoor,garden tools,Brand New in Box Set of six colourful windmills Each has a colourful top that spins in the breeze and is in a little wooden flower pot Would look just as lovely indoors as out in the garden :-) Each measures approx 14cm (5.5 inches) tall Weight is approx. 200g. total Brand New in Box Set of six colourful windmills Each has a colourful top that spins in the breeze and is in a little wooden flower pot Would look just as lovely indoors as out in the garden :-) Each measures approx 14cm (5.5 inches) tall Weight is approx. 200g. total
b3620fe47fc76ad4cb3e8067b58d50c6,Perler Swamp Thangs Blister Set (2000-Piece),Perler,7.99,1,1,5.0,"Technical Details Item Weight227 g Product Dimensions29.1 x 19.9 x 3.4 cm Manufacturer recommended age:6 years and up Item model number55970 Number of Puzzle Pieces2000 Assembly RequiredYes Batteries Included?No ???? Additional Information ASINB001BC7Y4Q Best Sellers Rank 1,204,914 in Toys & Games (See top 100) #19088 in??Toys & Games > Arts & Crafts > Children's Craft Kits > Bead Art & Jewellery-Making Shipping Weight227 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available11 Nov. 2010 ???? Feedback ??Would you like to update product info or give feedback on images?",arts & crafts,children's craft kits,"Product Description Create creatures from the slimy deep with the fun Swamp Thangs kit from Perler! With reusable pegboards, you can create even more with your own collection of beads! Box Contains Contents:2000 beads, Frog pegboard,Gecko pegboard,Turtle pegboard,Ironing paper,Easy instructions Product Description Create creatures from the slimy deep with the fun Swamp Thangs kit from Perler! With reusable pegboards, you can create even more with your own collection of beads! Box Contains Contents:2000 beads, Frog pegboard,Gecko pegboard,Turtle pegboard,Ironing paper,Easy instructions"
863ab5e7810ee5dfffc4b04f8e041d58,Munchkin Card Game: The Guild Expansion,Steve Jackson Games,6.67,16,0,4.9,Technical Details Brand Steve Jackson Games Model Number332212 ???? Additional Information ASINB01B1PLE34 Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available25 Jan. 2016 ????,unknown,unknown,Style Name:Guild Expansion Munchkin Card Game: The Guild Expansion Style Name:Guild Expansion Munchkin Card Game: The Guild Expansion
2f5278f45a215636984df7c196913cac,Epoch 2809 Sylvanian families - Popcorn cart,Epoch,13.84,1,2,5.0,"Technical Details Item Weight168 g Product Dimensions15.6 x 11 x 7.8 cm Manufacturer recommended age:4 years and up Item model number2809 Batteries Required?No Batteries Included?No ???? Additional Information ASINB006ZVD4WY Best Sellers Rank 308,938 in Toys & Games (See top 100) #661 in??Toys & Games > Toddler Toys > Sorting, Stacking & Plugging Toys #1103 in??Toys & Games > Dolls & Accessories > Dolls' House Dolls & Accessories > Dolls' House Accessories #5973 in??Toys & Games > Bikes, Trikes & Ride-ons Shipping Weight141 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available2 Aug. 2012 ???? Feedback ??Would you like to update product info or give feedback on images?",dolls & accessories,dolls' house dolls & accessories,Epoch - Sylvanian families - Popcorn cartThe delicious smell of popcorn smells through the streets and the pink umbrella glows from afar. All the Sylvanian villagers love popcorn!Suitable for children from 4 years Epoch - Sylvanian families - Popcorn cartThe delicious smell of popcorn smells through the streets and the pink umbrella glows from afar. All the Sylvanian villagers love popcorn!Suitable for children from 4 years
fd5ddec712796ddc6887464d4be55758,MyTinyWorld Dolls House Miniature Ceramic Spaniel Mum Dog,MyTinyWorld,5.1,1,0,5.0,"Technical Details Item Weight14 g Product Dimensions4.3 x 2.6 x 3.4 cm Manufacturer recommended age:10 years and up Manufacturer referenceMTW10590 Scale1:12 Material Care InstructionsHandmade Ceramic ???? Additional Information ASINB00F9VTI80 Best Sellers Rank 814,776 in Toys & Games (See top 100) #3875 in??Toys & Games > Dolls & Accessories > Dolls' House Dolls & Accessories > Dolls' House Accessories Shipping Weight14 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available18 Sept. 2013 ????",dolls & accessories,dolls' house dolls & accessories,"An adorable 1:12 scale miniature Ceramic female Spaniel in a sitting position. This would be a perfect addition to any dolls house scene.??Our range of animals are made from high quality ceramic and hand painted to a very high level of detail giving very pleasing and unique uality to their finish.??Additional Product InformationAbout our Animals and Birds: We are constantly adding new, high quality dolls house miniature accessories to our extensive range so that you have the best possible range to help you finish off your miniature scenes.This item is handmade: Each item is individually handmade and in many cases hand finished and painted. These are produced by craftsmen and women in UK and in our facilities abroad.Material Information: Handmade Ceramic; Clay is mixed and poured into individual plaster moulds by hand. Air dried, broken from the mould, fired and hand glazed and painted.MyTinyWorld was established in 2007 and founded on the philosophy of providing high quality miniatures a... An adorable 1:12 scale miniature Ceramic female Spaniel in a sitting position. This would be a perfect addition to any dolls house scene.??Our range of animals are made from high quality ceramic and hand painted to a very high level of detail giving very pleasing and unique uality to their finish.??Additional Product InformationAbout our Animals and Birds: We are constantly adding new, high quality dolls house miniature accessories to our extensive range so that you have the best possible range to help you finish off your miniature scenes.This item is handmade: Each item is individually handmade and in many cases hand finished and painted. These are produced by craftsmen and women in UK and in our facilities abroad.Material Information: Handmade Ceramic; Clay is mixed and poured into individual plaster moulds by hand. Air dried, broken from the mould, fired and hand glazed and painted.MyTinyWorld was established in 2007 and founded on the philosophy of providing high quality miniatures a..."
8e75b50fa124bdf752a5bac84a2530ca,burago porsche 911 carrera 4 assembly kit car 1.43 scale diecast model,burago,6.99,2,2,5.0,"Technical Details Item Weight231 g Manufacturer recommended age:3 years and up Manufacturer reference18-35021 Assembly RequiredYes ???? Additional Information ASINB007IXC2Y4 Best Sellers Rank 391,307 in Toys & Games (See top 100) Shipping Weight327 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available10 Mar. 2012 ???? Feedback ??Would you like to update product info or give feedback on images?",die-cast & toy vehicles,toy vehicles & accessories,burago porsche 911 carrera 4 assembly kit car diecast model brand new displayed in a mint box and is in mint condition this model is diecast metal and comes with plastic parts. this model is 1.43 scale 3+ in age. this assembly kit clips and screws together this assembly kit is made by burago burago porsche 911 carrera 4 assembly kit car diecast model brand new displayed in a mint box and is in mint condition this model is diecast metal and comes with plastic parts. this model is 1.43 scale 3+ in age. this assembly kit clips and screws together this assembly kit is made by burago
bdf2a3b29733dfe785912303e436d2c5,Star Wars Silicon Tray Millennium Falcon,Star Wars,7.99,10,2,4.9,"Technical Details Item Weight9 g Product Dimensions15.2 x 10.2 x 2.5 cm Manufacturer recommended age:8 - 18 years Item model numberNOV111611 Main Language(s)German Number of Puzzle Pieces1 Batteries Required?No Batteries Included?No Material Type(s)Carbon ColorOrange ???? Additional Information ASINB006OIMS2K Best Sellers Rank 65,573 in Toys & Games (See top 100) #44 in??Toys & Games > Figures & Playsets > Cowboys & Indians #79 in??Toys & Games > Figures & Playsets > Pirates #90 in??Toys & Games > Figures & Playsets > Sport Shipping Weight82 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available28 Feb. 2012 ???? Feedback ??Would you like to update product info or give feedback on images?",cooking & dining,kitchen tools & gadgets,"Product Description We all remember Han Solo's ship the Millenium Falcon, don't we? Well, now you can have ice cubes shaped like the Millennium Falcon that you can plop into your margarita glass.But why on earth would anyone want to have Millennium Falcon ice cubes? The sweet and simple answer is: for no reason at all. Or because it just sounds crazy and fun and is a break from the cube shape that all ice cubes have, meaning all! Watch your guests jump out of their skins as you bring out these absolutely magical ice cubes from the freezer and lay it out in an ice bucket. What the hell is this? Your guests are likely to ask. A Millennium Falcon ice cube, an object that has never existed anywhere in this galaxy up until now. Oh, they will go. Box Contains 1x Star Images GZ267 STAR WARS SILICONE TRAY MILLENNIUM FALCON Product Description We all remember Han Solo's ship the Millenium Falcon, don't we? Well, now you can have ice cubes shaped like the Millennium Falcon that you can plop into your margarita glass.But why on earth would anyone want to have Millennium Falcon ice cubes? The sweet and simple answer is: for no reason at all. Or because it just sounds crazy and fun and is a break from the cube shape that all ice cubes have, meaning all! Watch your guests jump out of their skins as you bring out these absolutely magical ice cubes from the freezer and lay it out in an ice bucket. What the hell is this? Your guests are likely to ask. A Millennium Falcon ice cube, an object that has never existed anywhere in this galaxy up until now. Oh, they will go. Box Contains 1x Star Images GZ267 STAR WARS SILICONE TRAY MILLENNIUM FALCON"
b078e031a9dc73093b84797165c04518,Transformers Robots in Disguise Mega Optimus Prime Action Figure,Transformers,26.99,25,1,4.4,"Technical Details Item Weight249 g Product Dimensions7.6 x 22.9 x 30.5 cm Manufacturer recommended age:6 years and up Item model numberB1564 Number of Puzzle Pieces1 Assembly RequiredNo Batteries Required?No Batteries Included?No Colormulti-colored ???? Additional Information ASINB00UT9T1OS Best Sellers Rank 2,094 in Toys & Games (See top 100) #71 in??Toys & Games > Figures & Playsets > Science Fiction & Fantasy Shipping Weight640 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available8 May 2015 ???? Feedback ??Would you like to update product info or give feedback on images?",characters & brands,hasbro,"Product Description The leader of the Autobots is back, and he's fiercer than ever! This Optimus Prime changer still fights the Decepticons every time he can, but he converts so fast they'll never be able to keep up. Convert him from mighty robot mode to semi truck mode in just 3 steps, then convert him back again when the battle calls for it! You can unlock Mega Optimus Prime character in the Transformers Robots in Disguise app by scanning your figure's badge into the app. (Device not included.) Decepticons will never be able to handle your fast-changing Mega Optimus Prime figure! Transformers and all related characters are trademarks of Hasbro. Box Contains Includes figure. Product Description The leader of the Autobots is back, and he's fiercer than ever! This Optimus Prime changer still fights the Decepticons every time he can, but he converts so fast they'll never be able to keep up. Convert him from mighty robot mode to semi truck mode in just 3 steps, then convert him back again when the battle calls for it! You can unlock Mega Optimus Prime character in the Transformers Robots in Disguise app by scanning your figure's badge into the app. (Device not included.) Decepticons will never be able to handle your fast-changing Mega Optimus Prime figure! Transformers and all related characters are trademarks of Hasbro. Box Contains Includes figure."
